availability,concurrency,data_transferred,elapsed_time,failed_transactions,longest_transaction,response_time,shortest_transaction,successful_transactions,throughput,transaction_rate,transactions
100.000000,1.470000,14.640000,10.700000,0.000000,0.290000,0.080000,0.030000,208.000000,1.370000,19.440000,208.000000
100.000000,6.390000,27.400000,10.220000,0.000000,0.940000,0.170000,0.040000,392.000000,2.680000,38.360000,392.000000
100.000000,25.290000,33.920000,10.880000,0.000000,2.470000,0.540000,0.060000,508.000000,3.120000,46.690000,508.000000
100.000000,63.000000,23.480000,10.720000,0.000000,4.580000,1.640000,0.060000,413.000000,2.190000,38.530000,413.000000
93.540000,300.540000,0.000000,10.540000,32.000000,10.490000,6.840000,1.850000,463.000000,0.000000,43.930000,463.000000
89.340000,291.390000,0.000000,10.060000,55.000000,9.980000,6.360000,2.400000,461.000000,0.000000,45.830000,461.000000
